,Unnamed: 0,Name,Location,overall_rating,Num_Reviews,Cuisines,Score,rest_id,Score_New,Score_
128,128,Salad King,Downtown Yonge,3.8,1253,"Thai, Asian",0.17864835,128,3.893241752,678.64835
129,129,Salad King,Downtown Yonge,,1253,"Thai, Asian",0.17864835,129,3.893241752,678.64835
124,124,KINKA IZAKAYA,Church and Wellesley,4.9,1156,"Japanese, Asian",0.193163549,124,3.965817744,693.163549
125,125,Pizzeria Libretto,Trinity Bellwoods,4.8,998,"Pizza, Italian",0.234616806,125,4.173084029,734.616806
126,126,Terroni,Trinity Bellwoods,4.2,941,"Italian, Pizza",0.151410666,126,3.75705333,651.410666
132,132,Banh Mi Boys,Fashion District,4.9,933,"Quick Bites, Sandwich",0.192557993,132,3.962789965,692.557993
134,134,The Burger's Priest,The Beaches,4.5,772,"Quick Bites, Burger",0.145664681,134,3.728323407,645.664681
137,137,The Stockyards,Forest Hill,4.9,727,"Quick Bites, BBQ, Burger",0.121913915,137,3.609569576,621.913915
136,136,Grand Electric,Brockton Village,4.6,719,"Bar, Mexican",0.161687243,136,3.808436214,661.687243
141,141,Grazie Ristorante,Yonge & Eglinton,,688,Italian,0.179141377,141,3.895706887,679.141377
135,135,Canoe,Financial District,,673,"Fine Dining, Canadian, Bar Food",0.24944166,135,4.247208302,749.44166
140,140,Barque Smokehouse,Roncesvalles Village,4.6,645,"BBQ, Grill",0.17735132,140,3.886756601,677.35132
138,138,Auberge du Pommier,North York,4.6,638,"Fine Dining, French",0.214040274,138,4.070201368,714.040274
131,131,Pai,Entertainment District,4.9,599,"Thai, Asian",0.208564725,131,4.042823626,708.564725
139,139,Lee,Fashion District,4.6,564,"Bar, Asian Fusion, Asian",0.191778293,139,3.958891467,691.778293
144,144,Momofuku Noodle Bar,Entertainment District,3.5,534,"Japanese, Asian",0.125635624,144,3.62817812,625.635624
143,143,Copacabana Grilled Brazilian,Davisville Village,4.6,532,"Brazilian, Grill",0.153799543,143,3.768997715,653.799543
133,133,Gusto 101,Fashion District,4.6,497,"Bar, Pizza, Italian",0.206341765,133,4.031708823,706.341765
130,130,Richmond Station,Financial District,,482,"Italian, Canadian",0.233347052,130,4.166735262,733.347052
142,142,WVRST,Niagara,,455,German,0.175795054,142,3.878975271,675.795054
127,127,El Catrin Destileria,Distillery District,3.8,449,"Mexican, Tapas",0.183433898,127,3.917169488,683.433898
122,122,Insomnia,Harbord Village,4.5,393,"Bar, American, Italian, Bar Food",0.224723171,122,4.123615855,724.723171
14,14,Fortune Dragon,Mississauga,,63,"Quick Bites, Chinese, Asian",0.132693594,14,3.663467971,632.693594
11,11,Bombay Palace,St. Lawrence,3.7,62,Indian,0.178736575,11,3.893682875,678.736575
