,Unnamed: 0,Name,Location,overall_rating,Num_Reviews,Cuisines,Score,rest_id,Score_New
0,0,Sunshine Spot,North York,3.6,42,"Diner, Canadian",0.14820940000000002,0,3.741047
1,1,Lemongrass,Davisville Village,3.8,49,Thai,0.137878314,1,3.68939157
2,2,Gyu-Kaku Japanese BBQ,St. Lawrence,,13,"Japanese, BBQ",0.144002365,2,3.720011825
3,3,Melanie's Bistro,East Danforth,,60,Grill,0.293148173,3,4.465740867
4,4,The Only Cafe,The Danforth,3.9,58,"Bar, Café, Bar Food, Cafe",0.191815157,4,3.9590757830000003
5,5,TCJ Restaurant,St. Lawrence,3.5,19,"Thai, Chinese, Japanese, Asian",0.17106665100000001,5,3.8553332539999996
6,6,Basilico Ristorante,Woodbridge,,59,Italian,0.253041009,6,4.265205047
7,7,Goods & Provisions,Leslieville,,51,"Bar, Bar Food",0.25017236800000003,7,4.2508618380000005
8,8,Salute Piano Bar and Restaurant,Yorkville,,44,"Bar, European, Italian",0.143668737,8,3.718343687
9,9,Joy Thai Restaurant,Bedford Park,,42,"Thai, Asian",0.286966194,9,4.434830968
10,10,Carmelina,Markham,3.8,52,"Italian, Mediterranean",0.295044807,10,4.475224033
11,11,Bombay Palace,St. Lawrence,3.7,62,Indian,0.178736575,11,3.893682875
12,12,Akimi Japanese Cuisine,Richmond Hill,3.8,46,"Sushi, Japanese",0.145890532,12,3.729452662
13,13,Tasty BBQ Seafood Restaurant,North York,3.8,35,"Cantonese, Chinese, Asian",0.12255506,13,3.612775301
14,14,Fortune Dragon,Mississauga,,63,"Quick Bites, Chinese, Asian",0.132693594,14,3.663467971
15,15,Mama's Boys Burgers,Scarborough,,46,"Quick Bites, Burger, Canadian",0.205543287,15,4.027716433999999
16,16,Nine18 - Turnberry Golf Club,Brampton,,51,Canadian,0.183375213,16,3.916876063
17,17,Old Country Inn,Markham,3.8,42,"Austrian, European",0.154465611,17,3.772328056
18,18,Harpers Landing,Oakville,3.5,40,"Canadian, Grill",0.240088388,18,4.200441938
19,19,Mad Mexican,Runnymede,3.5,44,Mexican,0.17335817,19,3.86679085
20,20,Krepesz,Kensington-Chinatown,3.8,44,"Café, Lounge, Cafe, Hungarian",0.216603225,20,4.083016127
21,21,Grillway Subs & Burgers,Bloor West Village,,59,"Quick Bites, Burger, Greek, Sandwich",0.296258106,21,4.481290529
22,22,Calabash Caribbean Cuisine,Mississauga,3.9,46,"Caribbean, West Indian",0.11572576300000001,22,3.578628816
23,23,Kothur Indian Cuisine,Etobicoke,3.9,36,Indian,0.165683285,23,3.828416424
24,24,The Cupcake Shoppe,Yonge & Eglinton,,49,"Dessert Parlor, Desserts, Bakery",0.195549405,24,3.9777470260000003
25,25,Sushi In Sushi,Mississauga,,54,"Sushi, Japanese, Korean",0.326851044,25,4.634255221
26,26,Patisserie La Cigogne,Davisville Village,,50,"Bakery, Café, Bakery, Cafe, French",0.130677635,26,3.6533881760000004
27,27,Free Times Cafe,Harbord Village,3.7,58,"Jewish, Middle Eastern, Canadian",0.17546659399999998,27,3.87733297
28,28,Jake's on Main,Markham,,50,American,0.221523656,28,4.10761828
29,29,Ye's Sushi,Oakville,,14,"Sushi, Japanese, Asian",0.020535714,29,3.102678571
30,30,Bunner's,The Junction,3.8,56,"Dessert Parlor, Desserts, Bakery",0.187469456,30,3.9373472819999997
31,31,Kailash Parbat,Mississauga,,29,Indian,0.245987082,31,4.229935412
32,32,Japango,The Beaches,3.9,54,"Sushi, Japanese, Asian",0.273335286,32,4.366676429
33,33,Simply Thai,Bloor West Village,,58,"Thai, Asian",0.14833216300000002,33,3.741660815
